Heure,Balance avant,Balance après,Profit,Action
2023-01-20 19:20:13,441.24,459.37,+18.13,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.488 for 40000 shares. Position AVG Price was 160.546750, currency: JPY, rate: 0.007715, last updated rate on 2023-01-20T18:17:32Z, point value: 1.000000"
2023-01-20 19:02:24,404.74,441.24,+36.50,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.615 for 80000 shares. Position AVG Price was 160.674250, currency: JPY, rate: 0.007700, last updated rate on 2023-01-20T17:17:30Z, point value: 1.000000"
2023-01-20 18:37:40,395.35,404.74,+9.39,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.612 for 30000 shares. Position AVG Price was 160.652667, currency: JPY, rate: 0.007700, last updated rate on 2023-01-20T17:17:30Z, point value: 1.000000"
2023-01-20 18:33:53,394.55,395.35,+0.80,"Close long position for symbol CAPITALCOM:EURUSD at price 1.08434 for 20000 shares. Position AVG Price was 1.084300, currency: USD, point value: 1.000000"
2023-01-20 17:50:49,407.41,394.55,-12.86,"Close long position for symbol CAPITALCOM:AUDJPY at price 90.314 for 40000 shares. Position AVG Price was 90.355750, currency: JPY, rate: 0.007699, last updated rate on 2023-01-20T16:17:29Z, point value: 1.000000"
2023-01-20 16:44:24,430.62,407.41,-23.21,"Close long position for symbol CAPITALCOM:AUDJPY at price 90.280 for 30000 shares. Position AVG Price was 90.380667, currency: JPY, rate: 0.007687, last updated rate on 2023-01-20T15:17:27Z, point value: 1.000000"
2023-01-20 16:16:06,442.88,430.62,-12.26,"Close long position for symbol CAPITALCOM:AUDJPY at price 90.306 for 40000 shares. Position AVG Price was 90.346000, currency: JPY, rate: 0.007663, last updated rate on 2023-01-20T14:17:26Z, point value: 1.000000"
2023-01-20 15:13:57,454.10,442.88,-11.21,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.151 for 70000 shares. Position AVG Price was 161.171857, currency: JPY, rate: 0.007680, last updated rate on 2023-01-20T13:17:24Z, point value: 1.000000"
2023-01-20 15:07:00,421.69,454.10,+32.41,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.263 for 20000 shares. Position AVG Price was 161.052000, currency: JPY, rate: 0.007680, last updated rate on 2023-01-20T13:17:24Z, point value: 1.000000"
2023-01-20 14:46:29,389.12,421.69,+32.56,"Close long position for symbol CAPITALCOM:GBPJPY at price 161.029 for 70000 shares. Position AVG Price was 160.968429, currency: JPY, rate: 0.007680, last updated rate on 2023-01-20T13:17:24Z, point value: 1.000000"
2023-01-20 11:49:17,357.79,389.12,+31.33,"Close long position for symbol CAPITALCOM:GBPJPY at price 160.255 for 30000 shares. Position AVG Price was 160.119667, currency: JPY, rate: 0.007717, last updated rate on 2023-01-20T10:17:19Z, point value: 1.000000"
2023-01-20 11:40:27,347.99,357.79,+9.80,"Close long position for symbol CAPITALCOM:GBPJPY at price 160.068 for 40000 shares. Position AVG Price was 160.036250, currency: JPY, rate: 0.007717, last updated rate on 2023-01-20T10:17:19Z, point value: 1.000000"
2023-01-20 11:32:52,341.43,347.99,+6.56,"Close long position for symbol CAPITALCOM:GBPJPY at price 159.946 for 70000 shares. Position AVG Price was 159.933857, currency: JPY, rate: 0.007717, last updated rate on 2023-01-20T10:17:19Z, point value: 1.000000"
2023-01-20 11:28:50,324.92,341.43,+16.51,"Close long position for symbol CAPITALCOM:GBPJPY at price 160.057 for 30000 shares. Position AVG Price was 159.985667, currency: JPY, rate: 0.007717, last updated rate on 2023-01-20T10:17:19Z, point value: 1.000000"
2023-01-20 11:21:27,341.20,324.92,-16.28,"Close long position for symbol CAPITALCOM:GBPJPY at price 159.990 for 20000 shares. Position AVG Price was 160.095500, currency: JPY, rate: 0.007717, last updated rate on 2023-01-20T10:17:19Z, point value: 1.000000"
2023-01-20 11:14:29,336.64,341.20,+4.56,"Close long position for symbol CAPITALCOM:GBPJPY at price 160.061 for 30000 shares. Position AVG Price was 160.041333, currency: JPY, rate: 0.007728, last updated rate on 2023-01-20T09:17:18Z, point value: 1.000000"
2023-01-20 11:10:15,341.20,336.64,-4.56,"Close short position for symbol CAPITALCOM:GBPJPY at price 160.025 for 10000 shares. Position AVG Price was 159.966000, currency: JPY, rate: 0.007728, last updated rate on 2023-01-20T09:17:18Z, point value: 1.000000"
2023-01-20 11:06:49,343.21,341.20,-2.01,"Close short position for symbol CAPITALCOM:GBPJPY at price 159.906 for 10000 shares. Position AVG Price was 159.880000, currency: JPY, rate: 0.007728, last updated rate on 2023-01-20T09:17:18Z, point value: 1.000000"
