Heure,Balance avant,Balance après,P&L,Action
2023-09-13 18:36:52,5 131.16,5 051.44,-79.72,"Close long position for symbol ACTIVTRADES:GBPJPY at price 184.042 for 62222 shares. Position AVG Price was 184.231000, currency: JPY, rate: 0.006779, last updated rate on 2023-09-13T15:51:04Z, point value: 1.000000"
2023-09-13 14:29:08,5 686.06,5 131.16,-554.90,"Close short position for symbol ACTIVTRADES:EURUSD at price 1.07408 for 523493 shares. Position AVG Price was 1.073020, currency: USD, point value: 1.000000"
2023-09-13 13:45:00,5 802.52,5 686.06,-116.46,"Close long position for symbol ACTIVTRADES:AUDUSD at price 0.64092 for 529345 shares. Position AVG Price was 0.641140, currency: USD, point value: 1.000000"
2023-09-13 13:35:22,5 781.01,5 802.52,+21.51,"Close short position for symbol ACTIVTRADES:AUDJPY at price 94.438 for 453059 shares. Position AVG Price was 94.445000, currency: JPY, rate: 0.006783, last updated rate on 2023-09-13T10:51:19Z, point value: 1.000000"
2023-09-13 02:45:09,5 778.35,5 781.01,+2.66,"Close long position for symbol ACTIVTRADES:GBPJPY at price 183.940 for 78208 shares. Position AVG Price was 183.935000, currency: JPY, rate: 0.006795, last updated rate on 2023-09-12T23:51:06Z, point value: 1.000000"
2023-09-13 02:31:04,5 803.69,5 778.35,-25.34,"Close long position for symbol ACTIVTRADES:AUDJPY at price 94.555 for 532675 shares. Position AVG Price was 94.562000, currency: JPY, rate: 0.006795, last updated rate on 2023-09-12T23:51:06Z, point value: 1.000000"
2023-09-13 02:25:04,5 810.84,5 803.69,-7.15,"Close long position for symbol ACTIVTRADES:AUDJPY at price 94.560 for 525904 shares. Position AVG Price was 94.562000, currency: JPY, rate: 0.006795, last updated rate on 2023-09-12T23:51:06Z, point value: 1.000000"
2023-09-13 02:24:41,5 656.61,5 810.84,+154.22,"Close long position for symbol ACTIVTRADES:USDJPY at price 147.186 for 276824 shares. Position AVG Price was 147.104000, currency: JPY, rate: 0.006795, last updated rate on 2023-09-12T23:51:06Z, point value: 1.000000"
2023-09-13 01:47:51,5 540.79,5 656.61,+115.83,"Close short position for symbol ACTIVTRADES:AUDNZD at price 1.08749 for 852424 shares. Position AVG Price was 1.087720, currency: NZD, rate: 0.590772, last updated rate on 2023-09-12T22:50:05Z, point value: 1.000000"
2023-09-13 01:34:04,6 021.57,5 540.79,-480.78,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.139 for 1071850 shares. Position AVG Price was 147.073000, currency: JPY, rate: 0.006799, last updated rate on 2023-09-12T22:51:05Z, point value: 1.000000"
2023-09-13 00:28:59,5 761.87,6 021.57,+259.70,"Close short position for symbol ACTIVTRADES:USDJPY at price 147.032 for 289278 shares. Position AVG Price was 147.164000, currency: JPY, rate: 0.006795, last updated rate on 2023-09-12T21:51:04Z, point value: 1.000000"
